Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SAC,SF,IBB
2013,19,NHF,PL,77,204,189,14,45,15,1,3,20,4,1,12,64,0.238,0.284,0.376,0.66,71,1,0,2,0
2014,20,NHF,PL,87,234,212,32,58,17,1,10,31,1,0,21,48,0.274,0.338,0.505,0.842,107,0,0,1,0
2015,21,NHF,PL,70,119,109,15,22,4,0,5,17,1,0,8,43,0.202,0.252,0.376,0.628,41,0,0,2,1
2016,22,NHF,PL,104,382,323,65,104,18,1,22,67,7,2,54,98,0.322,0.416,0.588,1.004,190,1,0,4,2
2017,23,NHF,PL,65,231,202,24,67,16,1,8,31,0,1,24,63,0.332,0.403,0.54,0.942,109,2,0,3,0
2018,24,LAA,AL,104,367,326,59,93,21,2,22,61,10,4,37,102,0.285,0.361,0.564,0.925,184,2,0,1,2
2019,25,LAA,AL,106,425,384,51,110,20,5,18,62,12,3,33,110,0.286,0.343,0.505,0.848,194,2,0,4,1
2020,26,LAA,AL,44,175,153,23,29,6,0,7,24,7,1,22,50,0.19,0.291,0.366,0.657,56,0,0,0,0
2021,27,LAA,AL,155,639,537,103,138,26,8,46,100,26,10,96,189,0.257,0.372,0.592,0.965,318,4,0,2,20
2022,28,LAA,AL,157,666,586,90,160,30,6,34,95,11,9,72,161,0.273,0.356,0.519,0.875,304,5,0,3,14
2023,29,LAA,AL,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,325,3,0,3,21
2024,30,LAD,NL,159,731,636,134,197,38,7,54,130,59,4,81,162,0.31,0.39,0.646,1.036,411,6,0,5,10
