COMMON NAME,SCIENTIFIC NAME,HAWAIIAN ISLANDS,NWHI,SEHI
African Silverbill,Euodice cantans,N,n,N
Akeke'e,Loxops caeruleirostris,R,,R
Akiapola'au,Hemignathus wilsoni,R,,R
Akikiki,Oreomystis bairdi,R,,R
Akohekohe,Palmeria dolei,R,,R
Amaui,Myadestes woahensis,X,,X
American Avocet,Recurvirostra americana,V,,V
American Bittern,Botaurus lentiginosus,V,,V
American Pipit,Anthus rubescens,V,V,
American Wigeon,Anas americana,W,W,W
Ancient Murrelet,Synthliboramphus antiquus,V,,V
Anianiau,Magumma parva,R,,R
Apapane,Himatione sanguinea,R,,R
Arctic Tern,Sterna paradisaea,M,M,M
Baikal Teal,Anas formosa,V,,V
Baird's Sandpiper,Calidris bairdii,V,V,V
Band-rumped Storm-Petrel,Oceanodroma castro,B,M,B
Bar-tailed Godwit,Limosa lapponica,M,M,M
Barn Owl,Tyto alba,N,,N
Barn Swallow,Hirundo rustica,V,V,V
Belted Kingfisher,Megaceryle alcyon,V,,V
Bishop's 'O'o,Moho bishopi,X,,X
Black Francolin,Francolinus francolinus,N,,N
Black Kite,Milvus migrans,V,V,
Black Mamo,Drepanis funerea,X,,X
Black Noddy,Anous minutus,B,B,B
Black Scoter,Melanitta nigra,V,V,
Black Tern,Chlidonias niger,V,V,V
Black-bellied Plover,Pluvialis squatarola,W,M,W
Black-crowned Night-Heron,Nycticorax nycticorax,R,V,R
Black-footed Albatross,Phoebastria nigripes,B,B,B
Black-headed Gull,Chroicocephalus ridibundus,V,V,V
Black-legged Kittiwake,Rissa tridactyla,V,V,V
Black-necked Stilt,Himantopus mexicanus,R,V,R
Black-tailed Godwit,Limosa limosa,V,,V
Black-winged Petrel,Pterodroma nigripennis,M,M,M
Black-winged Stilt,Himantopus himantopus,V,V,
Blue-gray Noddy,Procelsterna cerulea,B,B,V
Blue-winged Teal,Anas discors,W,V,W
Bonaparte's Gull,Chroicocephalus philadelphia,V,V,V
Bonin Petrel,Pterodroma hypoleuca,B,B,M
Brambling,Fringilla montifringilla,V,V,
Brant,Branta bernicla,V,V,V
Bridled Tern,Onychoprion anaethetus,V,,V
Bristle-thighed Curlew,Numenius tahitiensis,W,W,W
Brown Booby,Sula leucogaster,B,B,B
Brown Noddy,Anous stolidus,B,B,B
Bryan's Shearwater,Puffinus bryani,V,V,
Buff-breasted Sandpiper,Calidris subruficollis,V,V,V
Bufflehead,Bucephala albeola,W,W,W
Buller's Shearwater,Ardenna bulleri,M,M,M
Bulwer's Petrel,Bulweria bulwerii,B,B,B
Cackling Goose,Branta hutchinsii,W,V,W
California Gull,Larus californicus,V,,V
California Quail,Callipepla californica,N,,N
Canada Goose,Branta canadensis,V,,V
Canvasback,Aythya valisineria,V,V,V
Caspian Tern,Hydroprogne caspia,V,,V
Cattle Egret,Bubulcus ibis,"V, N","V, n",N
Chestnut Munia,Lonchura atricapilla,N,,N
Chestnut-bellied Sandgrouse,Pterocles exustus,N,,N
Chinese Sparrowhawk,Accipiter soloensis,V,V,
Christmas Shearwater,Puffinus nativitatis,B,B,B
Chukar,Alectoris chukar,N,,N
Cinnamon Teal,Anas cyanoptera,V,,V
Cliff Swallow,Petrochelidon pyrrhonota,V,V,
Common Cuckoo,Cuculus canorus,V,V,
Common Gallinule,Gallinula galeata,R,,R
Common Goldeneye,Bucephala clangula,V,V,V
Common Merganser,Mergus merganser,V,,V
Common Myna,Acridotheres tristis,N,N,N
Common Nighthawk,Chordeiles minor,V,V,
Common Pochard,Aythya ferina,V,V,
Common Raven,Corvus corax,V,V,
Common Redpoll,Acanthis flammea,V,V,
Common Ringed Plover,Charadrius hiaticula,V,V,V
Common Sandpiper,Actitis hypoleucos,V,V,V
Common Snipe,Gallinago gallinago,V,V,V
Common Tern,Sterna hirundo,V,V,V
Common Waxbill,Estrilda astrild,N,,N
Cook's Petrel,Pterodroma cookii,M,M,M
